CAS_1;CAS_2;kij;Name/Name
7440-59-7;630-08-0;0.5463;Helium-4/Carbon
1333-74-0;7727-37-9;7.11E-02;Hydrogen/Nitrogen
1333-74-0;7727-37-9;0.1196;Hydrogen/Nitrogen
1333-74-0;7727-37-9;0.12;Hydrogen/Nitrogen
1333-74-0;630-08-0;9.19E-02;Hydrogen/Carbon
1333-74-0;630-08-0;0.1;Hydrogen/Carbon
1333-74-0;74-82-8;2.63E-02;Hydrogen/Methane
1333-74-0;74-82-8;1.51E-02;Hydrogen/Methane
1333-74-0;74-82-8;5.96E-02;Hydrogen/Methane
1333-74-0;74-82-8;-4.40E-03;Hydrogen/Methane
1333-74-0;74-82-8;-1.44E-02;Hydrogen/Methane
1333-74-0;74-85-1;6.33E-02;Hydrogen/Ethylene
1333-74-0;74-85-1;-1.22E-02;Hydrogen/Ethylene
1333-74-0;74-84-0;-7.56E-02;Hydrogen/Ethane
1333-74-0;74-84-0;-7.81E-02;Hydrogen/Ethane
1333-74-0;74-84-0;0.1896;Hydrogen/Ethane
1333-74-0;74-84-0;-0.1104;Hydrogen/Ethane
1333-74-0;74-84-0;-2.20E-03;Hydrogen/Ethane
1333-74-0;124-38-9;-0.1622;Hydrogen/Carbon
1333-74-0;115-07-1;-0.1037;Hydrogen/Propylene
1333-74-0;74-98-6;-0.1311;Hydrogen/Propane
1333-74-0;74-98-6;-5.00E-02;Hydrogen/Propane
1333-74-0;106-97-8;-0.397;Hydrogen/n-Butane
1333-74-0;106-97-8;-0.3759;Hydrogen/n-Butane
1333-74-0;110-54-3;-3.00E-02;Hydrogen/n-Hexane
1333-74-0;142-82-5;-0.1167;Hydrogen/n-Heptane
1333-74-0;108-88-3;-0.51;Hydrogen/Toluene
1333-74-0;91-22-5;-0.51;Hydrogen/Quinoline
1333-74-0;92-51-3;-0.51;Hydrogen/Bicyclohexyl
1333-74-0;90-12-0;0;Hydrogen/1-Methylnaphthalene
7727-37-9;630-08-0;3.30E-02;Nitrogen/Carbon
7727-37-9;630-08-0;3.00E-02;Nitrogen/Carbon
7727-37-9;7440-37-1;-2.60E-03;Nitrogen/Argon
7727-37-9;7440-37-1;-4.00E-04;Nitrogen/Argon
7727-37-9;7440-37-1;-5.20E-03;Nitrogen/Argon
7727-37-9;7440-37-1;4.00E-04;Nitrogen/Argon
7727-37-9;7440-37-1;5.60E-03;Nitrogen/Argon
7727-37-9;7440-37-1;-1.00E-02;Nitrogen/Argon
7727-37-9;7782-44-7;-1.59E-02;Nitrogen/Oxygen
7727-37-9;7782-44-7;-9.30E-03;Nitrogen/Oxygen
7727-37-9;7782-44-7;-1.44E-02;Nitrogen/Oxygen
7727-37-9;7782-44-7;-1.33E-02;Nitrogen/Oxygen
7727-37-9;7782-44-7;-1.00E-02;Nitrogen/Oxygen
7727-37-9;74-82-8;2.89E-02;Nitrogen/Methane
7727-37-9;74-82-8;3.30E-02;Nitrogen/Methane
7727-37-9;74-82-8;3.00E-02;Nitrogen/Methane
7727-37-9;74-82-8;3.63E-02;Nitrogen/Methane
7727-37-9;74-82-8;2.63E-02;Nitrogen/Methane
7727-37-9;74-82-8;3.16E-02;Nitrogen/Methane
7727-37-9;74-85-1;8.56E-02;Nitrogen/Ethylene
7727-37-9;74-84-0;3.44E-02;Nitrogen/Ethane
7727-37-9;74-84-0;5.33E-02;Nitrogen/Ethane
7727-37-9;10024-97-2;4.40E-03;Nitrogen/Nitrous
7727-37-9;124-38-9;-2.22E-02;Nitrogen/Carbon
7727-37-9;124-38-9;-1.19E-02;Nitrogen/Carbon
